Ticker,Name,GICS Sector,Category,Asset Type,Sector,Min Investment,Yield (%),Expense Ratio,Price,Volatility,Beta,Historical Drawdown
MMM,3M,Industrials,Blue-Chip,Stock,,155.1199951171875,,,,0.3202341964673404,1.003,-0.10535004728381722
AOS,A. O. Smith,Industrials,Blue-Chip,Stock,,66.4800033569336,,,,0.23873539870290833,1.162,-0.2820966557000032
ABT,Abbott Laboratories,Health Care,Blue-Chip,Stock,,138.00999450683594,,,,0.19200733499953648,0.742,-0.16418800524294846
ABBV,AbbVie,Health Care,Blue-Chip,Stock,,209.02999877929688,,,,0.24867652545126562,0.561,-0.19070972013763063
ACN,Accenture,Information Technology,Blue-Chip,Stock,,348.5,,,,0.25354860185896094,1.235,-0.26894893952023785
ADBE,Adobe Inc.,Information Technology,Blue-Chip,Stock,,438.55999755859375,,,,0.35511680333623075,1.312,-0.30795324886954106
AMD,Advanced Micro Devices,Information Technology,Blue-Chip,Stock,,99.86000061035156,,,,0.44633916816718033,1.651,-0.5292364469789937
AES,AES Corporation,Utilities,Blue-Chip,Stock,,11.59000015258789,,,,0.4015325022946965,0.983,-0.5271200791896612
AFL,Aflac,Financials,Blue-Chip,Stock,,109.47000122070312,,,,0.1916801299919775,0.988,-0.1252503891152831
A,Agilent Technologies,Health Care,Blue-Chip,Stock,,127.91999816894531,,,,0.2591588874869318,1.071,-0.18744981897632795
APD,Air Products,Materials,Blue-Chip,Stock,,316.1499938964844,,,,0.24031569935849478,0.865,-0.15088758208466926
ABNB,Airbnb,Consumer Discretionary,Blue-Chip,Stock,,138.8699951171875,,,,0.35750245601776,1.128,-0.32804134226541404
AKAM,Akamai Technologies,Information Technology,Blue-Chip,Stock,,80.68000030517578,,,,0.37039228634670757,0.654,-0.3199503490939866
ALB,Albemarle Corporation,Materials,Blue-Chip,Stock,,77.02999877929688,,,,0.5614038409937957,1.592,-0.4863200556280301
ARE,Alexandria Real Estate Equities,Real Estate,Blue-Chip,Stock,,102.26000213623047,,,,0.2538191607385948,1.177,-0.2500592176200143
ALGN,Align Technology,Health Care,Blue-Chip,Stock,,187.02999877929688,,,,0.3632060772609438,1.668,-0.4374867395232068
ALLE,Allegion,Industrials,Blue-Chip,Stock,,128.7100067138672,,,,0.20426647605754436,1.119,-0.17912102967772772
LNT,Alliant Energy,Utilities,Blue-Chip,Stock,,64.52999877929688,,,,0.17619945887574207,0.598,-0.10953954441570743
ALL,Allstate,Financials,Blue-Chip,Stock,,199.14999389648438,,,,0.2302264298192827,0.516,-0.1272963690350543
GOOGL,Alphabet Inc. (Class A),Communication Services,Blue-Chip,Stock,,170.27999877929688,,,,0.28679374361350213,0.991,-0.22137629894247543
GOOG,Alphabet Inc. (Class C),Communication Services,Blue-Chip,Stock,,172.22000122070312,,,,0.28247013656145403,0.991,-0.2227923035918699
MO,Altria,Consumer Staples,Blue-Chip,Stock,,55.849998474121094,,,,0.18121482773878483,0.677,-0.10290773738664304
AMZN,Amazon,Consumer Discretionary,Blue-Chip,Stock,,212.27999877929688,,,,0.27478407289408247,1.156,-0.19489997863769531
AMCR,Amcor,Materials,Blue-Chip,Stock,,10.119999885559082,,,,0.22401991971783833,0.847,-0.16913410105602716
AEE,Ameren,Utilities,Blue-Chip,Stock,,101.55999755859375,,,,0.17353081050531147,0.504,-0.07862046006405185
AEP,American Electric Power,Utilities,Blue-Chip,Stock,,106.05000305175781,,,,0.1791730603559071,0.565,-0.1310101462204749
AXP,American Express,Financials,Blue-Chip,Stock,,300.9599914550781,,,,0.24118138954533944,1.239,-0.10717672694728564
AIG,American International Group,Financials,Blue-Chip,Stock,,82.94000244140625,,,,0.21210224026948257,1.069,-0.12415273981763919
AMT,American Tower,Real Estate,Blue-Chip,Stock,,205.6199951171875,,,,0.2619398471439397,0.846,-0.27408400309526626
AWK,American Water Works,Utilities,Blue-Chip,Stock,,135.97000122070312,,,,0.21076689993446313,0.715,-0.18812000975297108
AMP,Ameriprise Financial,Financials,Blue-Chip,Stock,,537.2999877929688,,,,0.22378852121174683,1.351,-0.11942423597130844
AME,Ametek,Industrials,Blue-Chip,Stock,,189.3000030517578,,,,0.21852792656547643,1.165,-0.17264456651188798
AMGN,Amgen,Health Care,Blue-Chip,Stock,,308.05999755859375,,,,0.25896031394589425,0.557,-0.22740562324299507
APH,Amphenol,Information Technology,Blue-Chip,Stock,,66.5999984741211,,,,0.31467370473920064,1.236,-0.1723742888540135
ADI,Analog Devices,Information Technology,Blue-Chip,Stock,,230.05999755859375,,,,0.3393861922901217,1.039,-0.17576953724714284
ANSS,Ansys,Information Technology,Blue-Chip,Stock,,333.25,,,,0.21701046614705044,1.115,-0.15235532915307176
AON,Aon,Financials,Blue-Chip,Stock,,409.1199951171875,,,,0.19311596582370513,0.93,-0.17168267241591081
APA,APA Corporation,Energy,Blue-Chip,Stock,,20.700000762939453,,,,0.3664880608891026,3.158,-0.4121221705746179
APO,Apollo Global Management,Financials,Blue-Chip,Stock,,149.27000427246094,,,,0.3306729702530022,1.622,-0.20868240286214007
AAPL,Apple Inc.,Information Technology,Blue-Chip,Stock,,241.83999633789062,,,,0.24128312002375513,1.2,-0.14045241674426723
AMAT,Applied Materials,Information Technology,Blue-Chip,Stock,,158.07000732421875,,,,0.4247306075484752,1.521,-0.38160721082027854
APTV,Aptiv,Consumer Discretionary,Blue-Chip,Stock,,65.12000274658203,,,,0.37042721215173885,1.746,-0.3844063830947401
ACGL,Arch Capital Group,Financials,Blue-Chip,Stock,,92.91000366210938,,,,0.23420112853711836,0.628,-0.19309805848972503
ADM,Archer Daniels Midland,Consumer Staples,Blue-Chip,Stock,,47.20000076293945,,,,0.2348802472273987,0.711,-0.2995052562157577
ANET,Arista Networks,Information Technology,Blue-Chip,Stock,,93.05000305175781,,,,0.48672611823843387,1.089,-0.29463877269600763
AJG,Arthur J. Gallagher & Co.,Financials,Blue-Chip,Stock,,337.739990234375,,,,0.18050397709452087,0.773,-0.12286974596846804
AIZ,Assurant,Financials,Blue-Chip,Stock,,207.88999938964844,,,,0.20201722153130877,0.619,-0.13964779254971796
T,AT&T,Communication Services,Blue-Chip,Stock,,27.40999984741211,,,,0.1985489111190249,0.73,-0.08569268452166508
ATO,Atmos Energy,Utilities,Blue-Chip,Stock,,152.1300048828125,,,,0.15572538033069414,0.712,-0.09918768765238205
ADSK,Autodesk,Information Technology,Blue-Chip,Stock,,274.2099914550781,,,,0.2745610228879335,1.432,-0.24767641514287395
ADP,Automatic Data Processing,Industrials,Blue-Chip,Stock,,315.17999267578125,,,,0.1553601059998236,0.806,-0.07571993629117339
AZO,AutoZone,Consumer Discretionary,Blue-Chip,Stock,,3493.010009765625,,,,0.19275073503376725,0.703,-0.15442128599427732
AVB,AvalonBay Communities,Real Estate,Blue-Chip,Stock,,226.17999267578125,,,,0.18409008425012047,1.008,-0.1067955332737994
AVY,Avery Dennison,Materials,Blue-Chip,Stock,,187.97000122070312,,,,0.1876022983028327,0.897,-0.21294664344543077
AXON,Axon Enterprise,Industrials,Blue-Chip,Stock,,528.4500122070312,,,,0.5097829255132567,1.046,-0.3005028280369892
BKR,Baker Hughes,Energy,Blue-Chip,Stock,,44.59000015258789,,,,0.28162896338019067,1.376,-0.1443280392595809
BALL,Ball Corporation,Materials,Blue-Chip,Stock,,52.689998626708984,,,,0.23415668330804856,0.944,-0.3001193585084476
BAC,Bank of America,Financials,Blue-Chip,Stock,,46.099998474121094,,,,0.2279604225711094,1.342,-0.16949919338758926
BAX,Baxter International,Health Care,Blue-Chip,Stock,,34.5099983215332,,,,0.28315772089331387,0.614,-0.33171172784980474
BDX,Becton Dickinson,Health Care,Blue-Chip,Stock,,225.52999877929688,,,,0.19228123298656496,0.426,-0.1036666534048406
BRK.B,Berkshire Hathaway,Financials,Blue-Chip,Stock,,,,,,,,
BBY,Best Buy,Consumer Discretionary,Blue-Chip,Stock,,89.91000366210938,,,,0.3229231123783337,1.449,-0.19865791511406033
TECH,Bio-Techne,Health Care,Blue-Chip,Stock,,61.75,,,,0.36964248696502416,1.264,-0.26995077023894976
BIIB,Biogen,Health Care,Blue-Chip,Stock,,140.5,,,,0.25442527823762323,-0.083,-0.4365287544079245
BLK,BlackRock,Financials,Blue-Chip,Stock,,977.780029296875,,,,0.2028042278435713,1.298,-0.12144117652400047
BX,Blackstone Inc.,Financials,Blue-Chip,Stock,,161.16000366210938,,,,0.2958905649029903,1.526,-0.2041713176222135
BK,BNY Mellon,Financials,Blue-Chip,Stock,,88.94999694824219,,,,0.1945682308823604,1.073,-0.07878345319130037
BA,Boeing,Industrials,Blue-Chip,Stock,,174.6300048828125,,,,0.31766173311099155,1.524,-0.3196079386287487
BKNG,Booking Holdings,Consumer Discretionary,Blue-Chip,Stock,,5016.009765625,,,,0.2477615969778385,1.392,-0.19748776904646406
BWA,BorgWarner,Consumer Discretionary,Blue-Chip,Stock,,29.770000457763672,,,,0.2894079602733295,1.166,-0.22675659425105604
BSX,Boston Scientific,Health Care,Blue-Chip,Stock,,103.79000091552734,,,,0.1756751141155298,0.806,-0.07163758131775833
BMY,Bristol Myers Squibb,Health Care,Blue-Chip,Stock,,59.619998931884766,,,,0.29564937418105086,0.451,-0.25503685348109084
AVGO,Broadcom,Information Technology,Blue-Chip,Stock,,199.42999267578125,,,,0.5742318658530695,1.039,-0.252529163058428
BR,Broadridge Financial Solutions,Industrials,Blue-Chip,Stock,,241.22000122070312,,,,0.17971538628300598,1.09,-0.08096889433295461
BRO,Brown & Brown,Financials,Blue-Chip,Stock,,118.54000091552734,,,,0.17571666444959783,0.865,-0.1135601969426878
BF.B,Brown–Forman,Consumer Staples,Blue-Chip,Stock,,,,,,,,
BLDR,Builders FirstSource,Industrials,Blue-Chip,Stock,,138.99000549316406,,,,0.43654388612536427,2.121,-0.37192113882954275
BG,Bunge Global,Consumer Staples,Blue-Chip,Stock,,74.19000244140625,,,,0.2509828787969304,0.678,-0.38821443980421655
BXP,"BXP, Inc.",Real Estate,Blue-Chip,Stock,,70.93000030517578,,,,0.30308057869678257,1.202,-0.23024389285476998
CHRW,C.H. Robinson,Industrials,Blue-Chip,Stock,,101.62000274658203,,,,0.3001621105357198,0.826,-0.15316501485745354
CDNS,Cadence Design Systems,Information Technology,Blue-Chip,Stock,,250.5,,,,0.3687171818785011,1.032,-0.24398163449344373
CZR,Caesars Entertainment,Consumer Discretionary,Blue-Chip,Stock,,33.220001220703125,,,,0.42877204517258954,2.9,-0.309989004794459
CPT,Camden Property Trust,Real Estate,Blue-Chip,Stock,,124.05999755859375,,,,0.20531159539974225,0.958,-0.13314640128544106
CPB,Campbell Soup Company,Consumer Staples,Blue-Chip,Stock,,40.060001373291016,,,,0.2211332483257882,0.18,-0.268957697386694
COF,Capital One,Financials,Blue-Chip,Stock,,200.5500030517578,,,,0.3092264188874066,1.473,-0.13681448736960133
CAH,Cardinal Health,Health Care,Blue-Chip,Stock,,129.47999572753906,,,,0.2123980967713705,0.646,-0.18140231145216426
KMX,CarMax,Consumer Discretionary,Blue-Chip,Stock,,82.97000122070312,,,,0.3142075922735941,1.725,-0.22844680732919345
CCL,Carnival,Consumer Discretionary,Blue-Chip,Stock,,23.93000030517578,,,,0.41369295301428244,2.649,-0.26955161595585614
CARR,Carrier Global,Industrials,Blue-Chip,Stock,,64.80000305175781,,,,0.28994102785980974,1.23,-0.23153066868888345
CAT,Caterpillar Inc.,Industrials,Blue-Chip,Stock,,343.95001220703125,,,,0.2666457838110746,1.107,-0.1840277910437497
CBOE,Cboe Global Markets,Financials,Blue-Chip,Stock,,210.8000030517578,,,,0.2127109733867531,0.681,-0.12394418129772837
CBRE,CBRE Group,Real Estate,Blue-Chip,Stock,,141.94000244140625,,,,0.2685111844706822,1.398,-0.13473298869392497
CDW,CDW,Information Technology,Blue-Chip,Stock,,178.1999969482422,,,,0.28071114404865594,1.012,-0.3347898643839434
CE,Celanese,Materials,Blue-Chip,Stock,,50.939998626708984,,,,0.45915554916128687,1.164,-0.7012694061184137
COR,Cencora,Health Care,Blue-Chip,Stock,,253.5399932861328,,,,0.17974643686880873,0.493,-0.11837614843763751
CNC,Centene Corporation,Health Care,Blue-Chip,Stock,,58.15999984741211,,,,0.3230343525435067,0.454,-0.3028792476008013
CNP,CenterPoint Energy,Utilities,Blue-Chip,Stock,,34.380001068115234,,,,0.20296998345067088,0.947,-0.18141166305190667
CF,CF Industries,Materials,Blue-Chip,Stock,,81.0199966430664,,,,0.31145751070831657,0.966,-0.19805970913871265
CRL,Charles River Laboratories,Health Care,Blue-Chip,Stock,,165.30999755859375,,,,0.36318230664054696,1.371,-0.44413557559727646
SCHW,Charles Schwab Corporation,Financials,Blue-Chip,Stock,,79.52999877929688,,,,0.26531065764772327,0.989,-0.21436192355032294
CHTR,Charter Communications,Communication Services,Blue-Chip,Stock,,363.57000732421875,,,,0.368671322974228,1.111,-0.17923135222373615
CVX,Chevron Corporation,Energy,Blue-Chip,Stock,,158.6199951171875,,,,0.19330068470361875,1.098,-0.15330339801899387
CMG,Chipotle Mexican Grill,Consumer Discretionary,Blue-Chip,Stock,,53.970001220703125,,,,0.3037296282427632,1.269,-0.273108644210516
CB,Chubb Limited,Financials,Blue-Chip,Stock,,285.4800109863281,,,,0.1876930955240832,0.679,-0.1435144399766239
