Ticker,Name,GICS Sector,Category
MMM,3M,Industrials,Blue-Chip
AOS,A. O. Smith,Industrials,Blue-Chip
ABT,Abbott Laboratories,Health Care,Blue-Chip
ABBV,AbbVie,Health Care,Blue-Chip
ACN,Accenture,Information Technology,Blue-Chip
ADBE,Adobe Inc.,Information Technology,Blue-Chip
AMD,Advanced Micro Devices,Information Technology,Blue-Chip
AES,AES Corporation,Utilities,Blue-Chip
AFL,Aflac,Financials,Blue-Chip
A,Agilent Technologies,Health Care,Blue-Chip
APD,Air Products,Materials,Blue-Chip
ABNB,Airbnb,Consumer Discretionary,Blue-Chip
AKAM,Akamai Technologies,Information Technology,Blue-Chip
ALB,Albemarle Corporation,Materials,Blue-Chip
ARE,Alexandria Real Estate Equities,Real Estate,Blue-Chip
ALGN,Align Technology,Health Care,Blue-Chip
ALLE,Allegion,Industrials,Blue-Chip
LNT,Alliant Energy,Utilities,Blue-Chip
ALL,Allstate,Financials,Blue-Chip
GOOGL,Alphabet Inc. (Class A),Communication Services,Blue-Chip
GOOG,Alphabet Inc. (Class C),Communication Services,Blue-Chip
MO,Altria,Consumer Staples,Blue-Chip
AMZN,Amazon,Consumer Discretionary,Blue-Chip
AMCR,Amcor,Materials,Blue-Chip
AEE,Ameren,Utilities,Blue-Chip
AEP,American Electric Power,Utilities,Blue-Chip
AXP,American Express,Financials,Blue-Chip
AIG,American International Group,Financials,Blue-Chip
AMT,American Tower,Real Estate,Blue-Chip
AWK,American Water Works,Utilities,Blue-Chip
AMP,Ameriprise Financial,Financials,Blue-Chip
AME,Ametek,Industrials,Blue-Chip
AMGN,Amgen,Health Care,Blue-Chip
APH,Amphenol,Information Technology,Blue-Chip
ADI,Analog Devices,Information Technology,Blue-Chip
ANSS,Ansys,Information Technology,Blue-Chip
AON,Aon,Financials,Blue-Chip
APA,APA Corporation,Energy,Blue-Chip
APO,Apollo Global Management,Financials,Blue-Chip
AAPL,Apple Inc.,Information Technology,Blue-Chip
AMAT,Applied Materials,Information Technology,Blue-Chip
APTV,Aptiv,Consumer Discretionary,Blue-Chip
ACGL,Arch Capital Group,Financials,Blue-Chip
ADM,Archer Daniels Midland,Consumer Staples,Blue-Chip
ANET,Arista Networks,Information Technology,Blue-Chip
AJG,Arthur J. Gallagher & Co.,Financials,Blue-Chip
AIZ,Assurant,Financials,Blue-Chip
T,AT&T,Communication Services,Blue-Chip
ATO,Atmos Energy,Utilities,Blue-Chip
ADSK,Autodesk,Information Technology,Blue-Chip
ADP,Automatic Data Processing,Industrials,Blue-Chip
AZO,AutoZone,Consumer Discretionary,Blue-Chip
