Ticker,Name,Category,Min Investment
MLPX,Global X MLP & Energy Infrastructure ETF,ETF,1.0
QLD,ProShares Ultra QQQ,ETF,1.0
USAI,Pacer American Energy Independence ETF,ETF,1.0
ENFR,Alerian Energy Infrastructure ETF,ETF,1.0
PTF,Invesco Dorsey Wright Technology Momentum ETF,ETF,1.0
HYHG,ProShares High Yield—Interest Rate Hedged,ETF,1.0
PKB,Invesco Building & Construction ETF,ETF,1.0
IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,ETF,1.0
ATMP,Barclays ETN+ Select MLP ETN,ETF,1.0
KCE,SPDR S&P Capital Markets ETF,ETF,1.0
IYG,iShares U.S. Financial Services ETF,ETF,1.0
XLF,The Financial Select Sector SPDR Fund,ETF,1.0
VFH,Vanguard Financials Index Fund ETF Shares,ETF,1.0
IYF,iShares U.S. Financials ETF,ETF,1.0
XSD,SPDR S&P Semiconductor ETF,ETF,1.0
FNCL,Fidelity MSCI Financials Index ETF,ETF,1.0
USMC,Principal U.S. Mega-Cap ETF,ETF,1.0
MTUM,iShares MSCI USA Momentum Factor ETF,ETF,1.0
FXU,First Trust Utilities AlphaDEX Fund,ETF,1.0
IVW,iShares S&P 500 Growth ETF,ETF,1.0
VFMO,Vanguard U.S. Momentum Factor ETF ETF Shares,ETF,1.0
RSPG,Invesco S&P 500 Equal Weight Energy ETF,ETF,1.0
SPMO,Invesco S&P 500 Momentum ETF,ETF,1.0
OEF,iShares S&P 100 ETF,ETF,1.0
DYNF,iShares U.S. Equity Factor Rotation Active ETF,ETF,1.0
SPYG,SPDR Portfolio S&P 500 Growth ETF,ETF,1.0
IWF,iShares Russell 1000 Growth ETF,ETF,1.0
MGK,Vanguard Mega Cap Growth Index Fund,ETF,1.0
VUG,Vanguard Growth Index Fund ETF Shares,ETF,1.0
IWY,iShares Russell Top 200 Growth ETF,ETF,1.0
VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,ETF,1.0
XAR,SPDR S&P Aerospace & Defense ETF,ETF,1.0
VCR,Vanguard Consumer Discretionary Index Fund ETF Shares,ETF,1.0
SCHG,Schwab U.S. Large-Cap Growth ETF,ETF,1.0
ILCG,iShares Morningstar Growth ETF,ETF,1.0
TMFC,Motley Fool 100 Index ETF,ETF,1.0
XLG,Invesco S&P 500 Top 50 ETF,ETF,1.0
FOVL,iShares Focused Value Factor ETF,ETF,1.0
SMH,VanEck Semiconductor ETF,ETF,1.0
MMTM,SPDR S&P 1500 Momentum Tilt ETF,ETF,1.0
VV,Vanguard Large Cap Index Fund,ETF,1.0
MGC,Vanguard Mega Cap Index Fund,ETF,1.0
DWAS,Invesco DWA SmallCap Momentum ETF,ETF,1.0
USSG,Xtrackers MSCI USA Selection Equity ETF,ETF,1.0
PRN,Invesco Dorsey Wright Industrials Momentum ETF,ETF,1.0
XLY,The Consumer Discretionary Select Sector SPDR Fund,ETF,1.0
VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,ETF,1.0
RSPU,Invesco S&P 500 Equal Weight Utilities ETF,ETF,1.0
UTES,Virtus Reaves Utilities ETF,ETF,1.0
IWL,iShares Russell Top 200 ETF,ETF,1.0
SCHX,Schwab U.S. Large-Cap ETF,ETF,1.0
FTEC,Fidelity MSCI Information Technology Index ETF,ETF,1.0
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,ETF,1.0
IYW,iShares U.S. Technology ETF,ETF,1.0
ONEQ,Fidelity Nasdaq Composite Index ETF,ETF,1.0
VGT,Vanguard Information Technology Index Fund ETF Shares,ETF,1.0
PUTW,WisdomTree PutWrite Strategy Fund,ETF,1.0
NTSX,WisdomTree U.S. Efficient Core Fund,ETF,1.0
SOXX,iShares Semiconductor ETF,ETF,1.0
BLOK,Amplify Transformational Data Sharing ETF,ETF,1.0
ITOT,iShares Core S&P Total U.S. Stock Market ETF,ETF,1.0
QYLD,Global X NASDAQ 100 Covered Call ETF,ETF,1.0
PWS,Pacer WealthShield ETF,ETF,1.0
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,ETF,1.0
QQQ,Invesco QQQ Trust,ETF,1.0
IVV,iShares Core S&P 500 ETF,ETF,1.0
ARKW,ARK Next Generation Internet ETF,ETF,1.0
FTXL,First Trust Nasdaq Semiconductor ETF,ETF,1.0
FYC,First Trust Small Cap Growth AlphaDEX Fund,ETF,1.0
IAK,iShares U.S. Insurance ETF,ETF,1.0
PBUS,Invesco MSCI USA ETF,ETF,1.0
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,ETF,1.0
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF,ETF,1.0
PSL,Invesco Dorsey Wright Consumer Staples Momentum ETF,ETF,1.0
SPY,SPDR S&P 500 ETF Trust,ETF,1.0
VDE,Vanguard Energy Index Fund ETF Shares,ETF,1.0
IWB,iShares Russell 1000 ETF,ETF,1.0
VOO,Vanguard S&P 500 ETF,ETF,1.0
XLE,The Energy Select Sector SPDR Fund,ETF,1.0
VONE,Vanguard Russell 1000 Index Fund ETF Shares,ETF,1.0
VTI,Vanguard Total Stock Market Index Fund ETF Shares,ETF,1.0
SPLG,SPDR Portfolio S&P 500 ETF,ETF,1.0
XLU,The Utilities Select Sector SPDR Fund,ETF,1.0
KIE,SPDR S&P Insurance ETF,ETF,1.0
RDIV,Invesco S&P Ultra Dividend Revenue ETF,ETF,1.0
FUTY,Fidelity MSCI Utilities Index ETF,ETF,1.0
DSI,iShares ESG MSCI KLD 400 ETF,ETF,1.0
SCHB,Schwab U.S. Broad Market ETF,ETF,1.0
EQWL,Invesco S&P 100 Equal Weight ETF,ETF,1.0
EPS,WisdomTree U.S. LargeCap Fund,ETF,1.0
ESGV,Vanguard ESG U.S. Stock ETF,ETF,1.0
