Ticker,Name,Category
CMI,CUMMINS INC,Growth
BKWAF,BKW AG,Growth
SPHRY,STARPHARMA HOLDINGS-SPON ADR,Growth
GARLF,AXCAP VENTURES INC,Growth
TSMRF,TSUMURA & CO,Growth
LHX,L3HARRIS TECHNOLOGIES INC,Growth
MILC,MILLENNIUM SUSTAIN VENT CORP,Growth
EMLZF,EMMI AG-REG,Growth
ZTARF,ZETA RESOURCES LTD,Growth
HIDE,ALPHA ARC HIGH INF & DEF ETF,Growth
SKM,SK TELECOM CO LTD-SPON ADR,Growth
SMDPY,SUMITOMO PHARMA CO LTD-ADR,Growth
SAPGF,SAP SE,Growth
RSBT,RTRN STCK BNDS & MNG FUTURES,Growth
MDTC,MEDIA TECHNOLOGIES INC,Growth
MSCI,MSCI INC,Growth
SBND,COLUMBIA SHORT DURATION BOND,Growth
TALKW,HUDSON EXECUTIVE INV -CW25,Growth
RRYES,RSE ARCHIVE INT SER-CATCHER,Growth
ACI,ALBERTSONS COS INC - CLASS A,Growth
OKIEY,OKI ELECTRIC IND CO-UNS ADR,Growth
SNYYF,SANY HEAVY EQUIPMENT INTL,Growth
SPSM,SPDR PORTFOLIO S&P 600 SMALL,Growth
ARZGY,ASSICURAZIONI GEN-UNSPON ADR,Growth
GEO,GEO GROUP INC/THE,Growth
JBHHY,JB HI-FI LTD-UNSPONSORED ADR,Growth
VOTE,TCW TRANSFORM 500 ETF,Growth
ISGVF,ISHARES INDIA INR GOVT BOND,Growth
MGIMF,VERVE GROUP SE,Growth
HRL,HORMEL FOODS CORP,Growth
LVRLF,CORDOVACANN CORP,Growth
BIGY,YLDM TART 12 SMICD OPT I ETF,Growth
AVSE,AVANTIS RESP EMERG MKTS EQ-E,Growth
COMP,COMPASS INC - CLASS A,Growth
FTCGF,FIRST TRUST CLOUD COMPUTING,Growth
WACLF,WACOAL HOLDINGS CORP,Growth
XDAT,FRANKLIN EXPONENTIAL DATA,Growth
RFNDF,RURAL FUNDS TRUST,Growth
IHRPF,ISHARES CHINA LARGE CAP,Growth
FXR,FIRST TRUST INDST/PRODUCERS,Growth
