Date,Stock,P/E Ratio,Earnings Per Share (EPS),Dividend Yield,Return on Equity (ROE),Debt-to-Equity Ratio (D/E),Free Cash Flow (FCF)
2024-12-31,MMM,1.086153045288912,7.55,1.88,1.086153045288912,3.5551795939614785,3000000000.0
2023-12-31,MMM,-1.4551695444143957,-12.63,1.88,-1.4551695444143957,3.4847097982109423,8295000000.0
2022-12-31,MMM,0.3924059231082733,10.18,1.88,0.3924059231082733,1.1448852058144274,7340000000.0
2021-12-31,MMM,0.3935265186760601,10.12,1.88,0.3935265186760601,1.2169347334839824,9057000000.0
2024-12-31,ABT,0.2811765693185633,7.64,1.71,0.2811765693185633,0.3151435045317221,10765000000.0
2023-12-31,ABT,0.14825272647203586,3.26,1.71,0.14825272647203586,0.40483900215009194,9463000000.0
2022-12-31,ABT,0.18898217303603554,3.91,1.71,0.18898217303603554,0.48290901161205907,11358000000.0
2021-12-31,ABT,0.19750293279705045,3.94,1.71,0.19750293279705045,0.5308641975308642,12418000000.0
2023-12-31,AES,0.10008038585209003,0.35,6.71,0.10008038585209003,10.803054662379422,10758000000.0
2022-12-31,AES,-0.22404595814526057,-0.82,6.71,-0.22404595814526057,9.642183011899878,7266000000.0
2021-12-31,AES,-0.1461758398856326,-0.61,6.71,-0.1461758398856326,6.682987848463188,4018000000.0
2020-12-31,AES,0.017463933181473046,0.07,6.71,0.017463933181473046,7.547835990888383,4655000000.0
2023-10-31,A,0.21214713430282292,4.19,0.78,0.21214713430282292,0.4679213002566296,2070000000.0
2022-10-31,A,0.23638077285579642,4.18,0.78,0.23638077285579642,0.5219604147031103,1603000000.0
2021-10-31,A,0.22453145295973279,3.94,0.78,0.22453145295973279,0.5064019298571163,1673000000.0
2024-09-30,APD,0.22470577876911338,17.18,2.26,0.22470577876911338,0.8808205910838494,10443400000.0
2023-09-30,APD,0.1607081723480217,10.33,2.26,0.1607081723480217,0.7707452717478638,7832100000.0
2022-09-30,APD,0.17164485696895923,10.14,2.26,0.17164485696895923,0.6335133901399879,6097100000.0
2021-09-30,APD,0.15503297709698147,9.43,2.26,0.15503297709698147,0.6070444692275309,5799400000.0
2023-12-31,ALLE,0.4099218690738072,6.12,1.58,0.4099218690738072,1.5284836531897141,684800000.0
2022-12-31,ALLE,0.48630282437884903,5.19,1.58,0.48630282437884903,2.223932894457422,523500000.0
2021-12-31,ALLE,0.6362798050322751,5.34,1.58,0.6362798050322751,1.8997497035963642,534000000.0
2024-12-31,LNT,0.09851513420902341,2.69,3.15,0.09851513420902341,1.4857224443175328,1581000000.0
2023-12-31,LNT,0.10373321528700015,2.78,3.15,0.10373321528700015,1.403128227829423,973000000.0
2022-12-31,LNT,0.10930528999362651,2.73,3.15,0.10930528999362651,1.3891013384321225,455000000.0
2024-12-31,ALL,0.2176569349874079,16.99,2.01,0.2176569349874079,0.3770637067437739,9141000000.0
2023-12-31,ALL,-0.010579628587507035,-1.2,2.01,-0.010579628587507035,0.4469330332020259,4495000000.0
2022-12-31,ALL,-0.07370768526989936,-5.14,2.01,-0.07370768526989936,0.4553979871912168,5541000000.0
2021-12-31,ALL,0.0641010365781008,4.96,2.01,0.0641010365781008,0.31677191310218833,5461000000.0
2023-12-31,GOOGL,0.26041096905557576,5.8,0.47,0.26041096905557576,0.09570575095543424,133997000000.0
2022-12-31,GOOGL,0.2341339246673746,4.56,0.47,0.2341339246673746,0.11586841776500718,122980000000.0
2021-12-31,GOOGL,0.30215590041131,5.61,0.47,0.30215590041131,0.11284201323345322,116292000000.0
2024-12-31,GOOG,0.30797578472025694,8.04,0.46,0.30797578472025694,0.07832129541903016,177834000000.0
2023-12-31,GOOG,0.26041096905557576,5.8,0.46,0.26041096905557576,0.09570575095543424,133997000000.0
2022-12-31,GOOG,0.2341339246673746,4.56,0.46,0.2341339246673746,0.11586841776500718,122980000000.0
2021-12-31,GOOG,0.30215590041131,5.61,0.46,0.30215590041131,0.11284201323345322,116292000000.0
2024-12-31,MO,-5.033065236818588,6.54,7.31,-5.033065236818588,-11.137622877569259,8895000000.0
2023-12-31,MO,-2.2966101694915255,4.57,7.31,-2.2966101694915255,-7.41045197740113,9483000000.0
2022-12-31,MO,-1.4507928517493078,3.19,7.31,-1.4507928517493078,-6.7153284671532845,8461000000.0
2021-12-31,MO,-1.5410958904109588,1.34,7.31,-1.5410958904109588,-17.462017434620176,8574000000.0
2024-06-30,AMCR,0.18809585158464312,0.505,5.04,0.18809585158464312,1.851842308683329,1813000000.0
2023-06-30,AMCR,0.26030799801291604,0.705,5.04,0.26030799801291604,1.7906110283159464,1787000000.0
2022-06-30,AMCR,0.19720725134737874,0.529,5.04,0.19720725134737874,1.7106810387065163,2053000000.0
2021-06-30,AMCR,0.19710327455919396,0.602,5.04,0.19710327455919396,1.417086481947943,1929000000.0
2023-12-31,AEE,0.10150674068199841,4.38,2.8,0.10150674068199841,1.4544012688342585,6335000000.0
2022-12-31,AEE,0.10220784164446137,4.14,2.8,0.10220784164446137,1.4365245527217358,5643000000.0
2021-12-31,AEE,0.10206185567010309,3.84,2.8,0.10206185567010309,1.403298969072165,5184000000.0
2024-12-31,AEP,0.11012180909893927,5.58,3.51,0.11012180909893927,1.6984538186892717,14574900000.0
2023-12-31,AEP,0.08746093548859851,4.24,3.51,0.08746093548859851,1.7272950524226929,12518700000.0
2022-12-31,AEP,0.09656223057413345,4.49,3.51,0.09656223057413345,1.7402002226556288,12060400000.0
